entrez-gene-symbol	disease_name
ADGRV1	ClinGen Gene Validity Curations
ALMS1	ClinGen Gene Validity Curations
ATF6	ClinGen Gene Validity Curations
BAG3	ClinGen Gene Validity Curations
C1QB	ClinGen Gene Validity Curations
CD3E	ClinGen Gene Validity Curations
CDH23	ClinGen Gene Validity Curations
CEP78	ClinGen Gene Validity Curations
DICER1	ClinGen Gene Validity Curations
DNMT1	ClinGen Gene Validity Curations
FGFR3	ClinGen Gene Validity Curations
LRTOMT	ClinGen Gene Validity Curations
NGLY1	ClinGen Gene Validity Curations
OTOF	ClinGen Gene Validity Curations
PALB2	ClinGen Gene Validity Curations
PCDH15	ClinGen Gene Validity Curations
RIPOR2	ClinGen Gene Validity Curations
RPS10	ClinGen Gene Validity Curations
RPS24	ClinGen Gene Validity Curations
SKI	ClinGen Gene Validity Curations
SMAD3	ClinGen Gene Validity Curations
TMC1	ClinGen Gene Validity Curations
USH1C	ClinGen Gene Validity Curations
USH1G	ClinGen Gene Validity Curations
USH2A	ClinGen Gene Validity Curations
WHRN	ClinGen Gene Validity Curations
AAAS	Ataxia and cerebellar anomalies - narrow panel
ABCB7	Ataxia and cerebellar anomalies - narrow panel
ABHD12	Ataxia and cerebellar anomalies - narrow panel
ADGRG1	Ataxia and cerebellar anomalies - narrow panel
AFG3L2	Ataxia and cerebellar anomalies - narrow panel
AMPD2	Ataxia and cerebellar anomalies - narrow panel
ANO10	Ataxia and cerebellar anomalies - narrow panel
AP1S2	Ataxia and cerebellar anomalies - narrow panel
APTX	Ataxia and cerebellar anomalies - narrow panel
ARSA	Ataxia and cerebellar anomalies - narrow panel
ATCAY	Ataxia and cerebellar anomalies - narrow panel
ATM	Ataxia and cerebellar anomalies - narrow panel
ATN1	Ataxia and cerebellar anomalies - narrow panel
ATP1A3	Ataxia and cerebellar anomalies - narrow panel
ATXN1	Ataxia and cerebellar anomalies - narrow panel
ATXN10	Ataxia and cerebellar anomalies - narrow panel
ATXN2	Ataxia and cerebellar anomalies - narrow panel
ATXN3	Ataxia and cerebellar anomalies - narrow panel
ATXN7	Ataxia and cerebellar anomalies - narrow panel
B3GALNT2	Ataxia and cerebellar anomalies - narrow panel
CA8	Ataxia and cerebellar anomalies - narrow panel
CACNA1A	Ataxia and cerebellar anomalies - narrow panel
CACNA1G	Ataxia and cerebellar anomalies - narrow panel
CAMTA1	Ataxia and cerebellar anomalies - narrow panel
CASK	Ataxia and cerebellar anomalies - narrow panel
CHMP1A	Ataxia and cerebellar anomalies - narrow panel
CLCN2	Ataxia and cerebellar anomalies - narrow panel
CLN6	Ataxia and cerebellar anomalies - narrow panel
COQ8A	Ataxia and cerebellar anomalies - narrow panel
COX20	Ataxia and cerebellar anomalies - narrow panel
CP	Ataxia and cerebellar anomalies - narrow panel
CSTB	Ataxia and cerebellar anomalies - narrow panel
CTBP1	Ataxia and cerebellar anomalies - narrow panel
CWF19L1	Ataxia and cerebellar anomalies - narrow panel
CYP27A1	Ataxia and cerebellar anomalies - narrow panel
CYP2U1	Ataxia and cerebellar anomalies - narrow panel
DARS2	Ataxia and cerebellar anomalies - narrow panel
DDHD2	Ataxia and cerebellar anomalies - narrow panel
DKC1	Ataxia and cerebellar anomalies - narrow panel
DNAJC19	Ataxia and cerebellar anomalies - narrow panel
DNAJC5	Ataxia and cerebellar anomalies - narrow panel
DNMT1	Ataxia and cerebellar anomalies - narrow panel
EIF2B1	Ataxia and cerebellar anomalies - narrow panel
EIF2B2	Ataxia and cerebellar anomalies - narrow panel
EIF2B3	Ataxia and cerebellar anomalies - narrow panel
EIF2B4	Ataxia and cerebellar anomalies - narrow panel
EIF2B5	Ataxia and cerebellar anomalies - narrow panel
ELOVL4	Ataxia and cerebellar anomalies - narrow panel
EPM2A	Ataxia and cerebellar anomalies - narrow panel
