gene	ensembl_gene_id	B.cell	Cholangiocyte	Endothelial	Erythroid	Hepatocyte	Kupffer	Stellate	T.NK.cell
RP11-34P13.7		0.0039176158012617	0.0	0.0049770427357957	0.0	0.0012070469268972	0.0158653517857162	0.0	0.0119021437839673
FO538757.2		0.365456091048579	0.395536035391493	0.47983997242353	0.811495309354866	0.337046703882486	0.630801360784862	1.14803438207831	0.616790831598005
AP006222.2		0.125322027213085	0.157817101305684	0.330226798853581	0.0	0.0772117457748023	0.246543942353665	0.326163703388783	0.182739371305005
RP4-669L17.10		0.0048534172695579	0.0	0.0048376119386749	0.0	0.0146817422474611	0.0071146350440502	0.0	0.0077525173165016
RP5-857K21.4		0.0	0.0	0.0	0.0	0.0043236190673746	0.0	0.0	0.0040375060348906
RP11-206L10.9		0.0712160421431103	0.0610307417738944	0.0668543816220212	0.0	0.0628463897615484	0.11521622236629	0.0875635099291274	0.112451684632249
LINC00115	ENSG00000225880	0.0644761050849806	0.0	0.0117320439040311	0.0346164959226371	0.0162629656373321	0.0440196496978035	0.0	0.0812437372580108
FAM41C	ENSG00000230368	0.0538629012172782	0.0900400576678264	0.0351746113299077	0.0	0.0373723170709857	0.0698419862442845	0.0	0.0692779950306029
RP11-54O7.1		0.0	0.0	0.0099421041635071	0.0	0.0	0.0101101682308443	0.0	0.0
RP11-54O7.3		0.0	0.0	0.0305820535587032	0.0	0.0	0.0	0.0	0.0
SAMD11	ENSG00000187634	0.0	0.0	0.17089561637857	0.0	0.0040672886741451	0.0083035605545379	0.0812458040821042	0.0029858905694711
NOC2L	ENSG00000188976	0.693929164935968	0.554743905220551	0.441935374351841	0.386882242245071	0.33034385220722	0.354300823294019	0.123933851850278	0.706862340626712
KLHL17	ENSG00000187961	0.0077028369032647	0.0	0.0611326356155619	0.0	0.0123374099827836	0.0152111741914938	0.0	0.0222999133859467
PLEKHN1	ENSG00000187583	0.0768082005795205	0.0	0.0080166999414916	0.0	0.0038041436509857	0.0051848471132249	0.0	0.0259553974022352
RP11-54O7.17		0.0	0.0	0.0072296965422881	0.0	0.0	0.0060314523645623	0.0	0.0091809803081602
HES4	ENSG00000188290	0.0466267133465076	0.408483805801675	0.337631552226535	0.0	0.0108653515487999	0.128781457988554	1.84228986163159	0.0995946864823188
ISG15	ENSG00000187608	0.701100595518611	0.595098805238829	1.09751118951734	0.0	0.679120220152745	0.848128158524602	0.49569458334547	1.34086304068811
AGRN	ENSG00000188157	0.0076603438637795	1.01221569303356	0.339251838235781	0.0	0.175815100528257	0.060755193111121	0.243846785673374	0.0178641262904068
C1orf159		0.0884004092099329	0.217016565431768	0.0669916504886077	0.0	0.0667290306726667	0.0093072599173765	0.243846785673374	0.0620800939073036
RP11-465B22.8		0.0	0.0423692102255771	0.0	0.0	0.0011201430802819	0.0	0.0	0.0
TTLL10	ENSG00000162571	0.0	0.0071044167841902	0.0020599212866428	0.0	0.0	0.0	0.0	0.0085543488426114
TNFRSF18	ENSG00000186891	0.436824562580105	0.0	0.0124947492552239	0.0	0.0	0.0084454581204661	0.0	0.280296420667039
TNFRSF4	ENSG00000186827	0.278676272682849	0.0	0.215793485079841	0.0	0.0054179340697385	0.0301182502210613	0.0	0.136660917041414
SDF4	ENSG00000078808	1.89091238625586	1.19038645143352	1.18778393059721	0.0	1.41166767995307	0.991329667874799	1.49168409455064	1.35215199440258
B3GALT6	ENSG00000176022	0.189027090449341	0.125448782720012	0.239986750354558	0.0	0.167226844689155	0.188919879692699	0.0812458040821042	0.23681403808212
FAM132A	ENSG00000184163	0.048106062166293	0.0923706664579817	0.09113347388411	0.0	0.0165249070403838	0.0505730198352734	0.0	0.0078428865877343
UBE2J2	ENSG00000160087	0.742788066705951	0.596440571560205	0.572826240874222	0.735984088720407	0.41987999616087	0.466038338011743	0.472402833349593	0.831544147349601
SCNN1D	ENSG00000162572	0.0072792471094362	0.0	0.0136886371007083	0.240226190317151	0.0524754684187664	0.0213470076451653	0.0	0.0161280514255073
ACAP3	ENSG00000131584	0.37998644599959	0.268634595999708	0.201737075596781	0.122856448809841	0.257839522592284	0.288287680273012	0.748179813219338	0.229347614187387
PUSL1	ENSG00000169972	0.213370026715847	0.131906414810351	0.0744811401126633	0.0	0.129105057891929	0.122944854612027	0.0812458040821042	0.172705789140023
CPSF3L	ENSG00000127054	0.490430570923129	0.346331257168519	0.472549882318267	0.139728897509142	0.458506833878491	0.438270455315342	0.337823221663478	0.668094316801028
CPTP	ENSG00000224051	0.147490286246342	0.208849537490871	0.333212747411151	0.0	0.39188292217961	0.126548608439071	0.0	0.202489378718942
TAS1R3	ENSG00000169962	0.0465475836617765	0.0	0.0	0.0	0.0	0.0	0.0	0.0004299987371829
DVL1	ENSG00000107404	0.109515843492695	0.21916639678149	0.15105475751052	0.0	0.319047908352311	0.0962513156771404	0.0	0.0500744388133859
MXRA8	ENSG00000162576	0.0	0.0	0.0101968506409053	0.0	0.0058339088970803	0.0	1.85124104558045	0.0036811357483331
AURKAIP1	ENSG00000175756	3.59479368113584	2.86643504758814	1.97383251599702	2.76913721355025	3.64270928996743	2.25148355167088	1.56138041458678	2.3062207197785
CCNL2	ENSG00000221978	0.602752598839937	0.754694486950242	0.71189865942296	0.0346164959226371	0.636969769567383	0.325780235146161	0.24864110093132	0.648777953857333
MRPL20	ENSG00000242485	2.57030727457086	2.40867377987602	2.03062684603288	1.52664161997117	3.59183491232585	1.97843811972951	4.13381487014115	2.27481963265327
RP4-758J18.13		0.0	0.0079640590044442	0.0159904658262685	0.0	0.0245782389548681	0.0200866474276511	0.0	0.0162007659232211
ANKRD65	ENSG00000235098	0.0	0.238134508670347	0.0169938774830126	0.310397615375191	0.009588792803205	0.0157851467991206	0.197142092751127	0.0
RP4-758J18.10		0.0	0.0	0.0	0.0	0.0024660702576921	0.0	0.0	0.0
VWA1	ENSG00000179403	0.0	0.747914072595142	0.149860487662846	0.0	0.646925336445675	0.023361234232157	0.0	0.014029881188513
ATAD3C	ENSG00000215915	0.174819038829889	0.0	0.0064617673722772	0.0660603536321251	0.0759904751914324	0.0448554258016095	0.293089789190595	0.0690661339198655
ATAD3B	ENSG00000160072	0.233412061814047	0.142022803683089	0.0438485558857846	0.0	0.113707151965366	0.0674630950367461	0.732759267195233	0.182197891824825
ATAD3A	ENSG00000197785	0.400197824347407	0.142808115864888	0.0928873074682821	0.0	0.153169311663425	0.0991902844414638	0.197142092751127	0.206061709024044
TMEM240	ENSG00000205090	0.0196397550881947	0.0	0.0109858632230962	0.0	0.0	0.0	0.137288316314145	0.0
SSU72	ENSG00000160075	2.21121137219824	2.09173993597086	1.71604924426598	1.04652027605221	1.53165218925049	2.36032462829889	1.03144776404423	2.21619071307829
RP5-832C2.5		0.14862270947092	0.0297333133655573	0.0501757083454386	0.0	0.0117065140985619	0.100022958933342	0.0	0.186530153466552
C1orf233		0.0140824349276563	0.0	0.0062432330127053	0.0	0.0049832310589131	0.0556306521789403	0.0	0.0224608986460076
RP11-345P4.9		0.106047092378627	0.0826738670152012	0.0706285907710485	0.0	0.0716315270079592	0.0898910366545066	0.180709877166707	0.107609806342579
MIB2	ENSG00000197530	0.41753072867301	0.316554870509479	0.256632354393027	0.46068049030052	0.140344612488374	0.1654128306313	0.117226840235062	1.04813731770662
MMP23B	ENSG00000189409	0.0357491805474932	0.0202225409518993	0.0055667287420767	0.0	0.0226362015073579	0.0216036043157021	2.72512983250308	0.302058606245361
CDK11B	ENSG00000248333	0.561072375151961	0.484998661429164	0.452772745286165	0.100676849554762	0.508645079509709	0.488866655970154	0.477869151875919	0.795592471134687
RP11-345P4.10		0.0359345552794666	0.0357745148344877	0.0052250684650373	0.0	0.0448320236113742	0.0162983043066274	0.0	0.0106247848490782
SLC35E2B	ENSG00000189339	0.505184605259358	0.476147312965066	0.458890739499089	0.0940081356275245	0.318855343857945	0.509666915965448	0.0634830369316452	0.544557564975827
RP11-345P4.7		0.0212141656284121	0.0	0.0030310677405461	0.0	0.0	0.009151949535597	0.0	0.0102349103316086
CDK11A	ENSG00000008128	0.473066820706889	0.373985666462287	0.286987657690528	0.4832575161229	0.194972201582732	0.152422105626457	0.157354389377551	0.655785128230524
SLC35E2	ENSG00000189339	0.0429950113209658	0.0175914770914535	0.0433251232151101	0.0	0.0068618928036046	0.0147663777518023	0.0	0.088954571035903
NADK	ENSG00000008130	0.445946660590349	0.635334116192133	0.363117829546462	0.0	1.13858329471385	0.927964578220582	0.0	0.445213599006536
GNB1	ENSG00000078369	1.04665527603592	1.053653381845	1.69059753027686	0.325413682862116	0.74981671975587	2.01430010251115	0.852609320069216	1.00009430221772
RP1-140A9.1		0.0067514237894842	0.0	0.0	0.0	0.0020686145383322	0.0	0.0	0.0033558611864094
CALML6	ENSG00000169885	0.0	0.0	0.0	0.0	0.008655637572285	0.0	0.0	0.0
TMEM52	ENSG00000178821	0.084363231965035	0.190553198379836	0.0079354448416376	0.0	0.30817743941335	0.0175676373548019	0.825354461620327	0.0250740116583724
CFAP74	ENSG00000142609	0.0	0.0	0.0592895082053464	0.0	0.0134167558864516	0.0148224003938378	0.0	0.0069485349106857
PRKCZ	ENSG00000067606	0.122117843439183	0.0694398427136334	0.24234276673343	0.117156057913017	0.219772128818958	0.02783495144913	0.0	0.193851068923277
RP5-892K4.1		0.0	0.0	0.0204433014678975	0.0	0.0022275498933062	0.0068380858678752	0.0	0.0249905586344315
RP11-181G12.2		0.0	0.0426526876574102	0.0	0.0	0.0	0.0	0.0	0.0095214648584313
FAAP20	ENSG00000162585	1.19029833851423	1.09396318056626	1.32892312986235	0.818989511158952	1.05175259989795	1.51265624646992	2.30677833840065	1.15532164847551
SKI	ENSG00000157933	0.209804752858619	0.4068338095009	0.543802349062165	0.240226190317151	0.309126203165777	0.256076073412642	0.483757511460179	0.159401321271592
MORN1	ENSG00000116151	0.0304773801798806	0.0883378488180517	0.0222113993895591	0.0528391756959142	0.0284441684877167	0.0034082225118509	0.389960129466018	0.0232237244561739
RER1	ENSG00000157916	2.1278408634877	1.96836990047868	1.28166189294793	0.389558150996751	2.51477173220766	1.40992305881504	2.00043811338916	1.46916640884079
PEX10	ENSG00000157911	0.144823412241155	0.196370402732341	0.123980512276149	0.0	0.137662862298758	0.148059661141663	0.0744175208410172	0.135371106068183
PLCH2	ENSG00000276429	0.0385906267760553	0.0910105589460826	0.0	0.0	0.0683277765580099	0.0010939610590338	0.0	0.158390662714404
PANK4	ENSG00000273494	0.0826408244635541	0.0459237094801046	0.0880063220785525	0.358325929873335	0.096949738612234	0.080893566485299	0.0	0.158027562082707
RP3-395M20.12		0.119015895715999	0.154497656981535	0.0647835319474206	0.0660603536321251	0.0429458697519241	0.229307378758539	0.0	0.317830835225523
RP3-395M20.8		0.118353628455858	0.389497754676231	0.116006009603817	0.0	0.0619329729664336	0.0639120388100034	0.0	0.383153043207214
TNFRSF14	ENSG00000273936	1.0166913202889	0.823549818718061	0.801514059108953	0.544977210064648	0.269493882695383	1.17532109356336	0.0744175208410172	1.32007793929787
RP3-395M20.9		0.0	0.0480369864870577	0.0	0.0	0.0023068470380475	0.0041815318058702	0.0	0.006733478710827
FAM213B	ENSG00000275125	0.0354745982120804	0.270598399350119	0.188128526618018	0.0	0.053914202237305	0.0782488329895273	0.117226840235062	0.138832012835935
MMEL1	ENSG00000277131	0.0167444751791572	0.223692619242634	0.0095684312509458	0.0	0.0041723594692088	0.0104777147679357	0.0	0.0016156098629524
TTC34	ENSG00000275571	0.0	0.0223648505241042	0.0075957071837887	0.0	0.0	0.0254094852588815	0.0	0.0021626661872335
LINC00982	ENSG00000177133	0.0	0.167292703814579	0.0103842160682723	0.0	0.0	0.0	0.0	0.0
PRDM16	ENSG00000142611	0.0	0.429990167128018	0.0	0.0	0.0	0.0	0.0	0.0095968539911159
ARHGEF16	ENSG00000130762	0.0	0.227927055524406	0.0041129422470348	0.0	0.0614896136913907	0.0	0.0	0.0
MEGF6	ENSG00000162591	0.0	0.104590277721104	0.199414833893789	0.0	0.0274995633604332	0.0036715615500654	1.009482579588	0.0175518810143858
TPRG1L	ENSG00000158109	0.139058065125046	0.136707943950197	0.542822185093677	0.751643023997915	0.806816271931651	0.269390890073903	0.624667758658449	0.223165892036767
WRAP73	ENSG00000116213	0.148296897073945	0.195390613652486	0.146378012091097	0.0	0.099946553204175	0.203422082484271	0.0	0.340541973682137
TP73	ENSG00000078900	0.0557018777804334	0.0	0.0008887824007445	0.0	0.0015749613215861	0.0	0.0	0.0254912856988745
RP5-1092A11.5		0.0	0.0	0.0	0.0	0.0028437292663294	0.0	0.0	0.0
TP73-AS1	ENSG00000227372	0.0478883002273059	0.0685962531754845	0.137991505676695	0.0	0.0558659196337145	0.116703670927529	0.0744175208410172	0.123039924914013
SMIM1	ENSG00000235169	0.150253400477827	0.139826427887454	0.164295286008632	7.59391738922952	0.582181893092438	0.100352813540975	0.0	0.198671610820356
LRRC47	ENSG00000130764	0.496484858832428	0.424228219676584	0.332199948155239	0.0528391756959142	0.408745874779942	0.261233260458271	0.137900557772662	0.505924794153562
CEP104	ENSG00000116198	0.305628558001878	0.237519133264901	0.277034192477137	0.0	0.232093444615594	0.223051938969098	0.0	0.313100859142911
