gene	ensembl_gene_id	B_Cell_CD79A	T_Cell_IL7R	T_Cell_GZMK	T_Cell_XCL1	High_Proliferation_Erythrocyte	Monocyte	Macrophage_C1QB	Fibroblast_PTGDS	Plasma_Cell_JCHAIN	T_Cell_GZMA	NK_T_Cell_GNLY
RP11-34P13.7		0.0048354057154993	0.0	0.0	0.015233150992516	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FO538757.2		0.407154664234973	0.391390109166581	0.433618943234799	0.548665693038807	0.0	0.288838746026602	0.54052321437905	0.0	0.469704086425552	0.0	0.0
AP006222.2		0.0059927908837786	0.0030982604944222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP4-669L17.10		0.0148736394022759	0.0084514704614426	0.0	0.0148622418800141	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP5-857K21.4		0.0048563673043062	0.0072841322230703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-206L10.9		0.0217704689077884	0.0095413462456243	0.0124107665882306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00115	ENSG00000225880	0.0175342269483543	0.0150072877595216	0.0224107715132201	0.0548663242725022	0.0	0.123931094311563	0.245278390973755	0.0	0.0	0.0	0.0
NOC2L	ENSG00000188976	0.288175105573511	0.314880628777533	0.335939197778586	0.249619927514923	0.419719092983885	0.272249858670815	0.624470031505993	0.0	0.0	2.30096640589047	0.0
KLHL17	ENSG00000187961	0.0124840286946853	0.0090336118725816	0.0379417366691708	0.0348384458437562	0.117242915596825	0.0	0.0	0.0	0.0	0.0	0.0
PLEKHN1	ENSG00000187583	0.0	0.007153657903865	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-54O7.17		0.0013503123407475	0.0026721980443561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HES4	ENSG00000188290	0.0070487623795556	0.064845421112727	0.0192631461340792	0.0	0.0595833929167263	0.40016006402561	0.236616385684709	0.0	0.0	0.0	0.0
ISG15	ENSG00000187608	0.1742492985669	0.299884622158339	0.498153169438403	0.626384494130865	0.623763772066921	0.0	0.110357004910887	0.0	0.175484776695622	0.0	0.0
AGRN	ENSG00000188157	0.0097207259054292	0.010332117737766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf159		0.0651602948776936	0.0656808806426398	0.131239499765621	0.0427665571635509	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF18	ENSG00000186891	0.0178723703558145	0.0666683099974225	0.0562333266519952	0.0539113246071528	0.178750178750179	0.0	0.0	0.0	0.592856084185564	0.0	0.0
TNFRSF4	ENSG00000186827	0.0063438704541863	0.129804144084517	0.0179032437096953	0.157533583742086	0.117242915596825	0.0	0.382045261944124	0.0	0.242101440503571	0.0	0.0
SDF4	ENSG00000078808	0.550119547523348	0.581775814638775	0.938916062525955	0.663246356166985	0.684838804188489	0.673903141613308	0.584778835133011	3.94477317554241	0.975013547098099	0.0	0.0
B3GALT6	ENSG00000176022	0.0447916802402737	0.0437550480145002	0.0539217649099532	0.0919569728984654	0.16577415199382	0.0	0.204838065073755	0.0	0.0	0.0	0.0
UBE2J2	ENSG00000160087	0.300443224756531	0.265094762509319	0.301512977234256	0.316716230771119	0.430771249503616	0.426831024847149	0.359582883854728	3.94477317554241	1.06476890297397	0.0	0.0
SCNN1D	ENSG00000162572	0.0075780727965591	0.0092232947941082	0.0	0.0169552449354683	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACAP3	ENSG00000131584	0.047129667102034	0.052144117353557	0.0740725676251665	0.125325940929643	0.0	0.0	0.0985464400098547	0.0	0.0	0.0	0.0
PUSL1	ENSG00000169972	0.035620482429933	0.0274542336060383	0.0	0.0566522327089384	0.236409701430278	0.0	0.0858332260418008	0.0	0.0	0.0	0.0
