gene	ensembl_gene_id	Endothelial_Ovarian_cells	Granulosa	smooth_muscle_cells	Stromal_cells	T_cells
FO538757.2		0.227226787332572	0.281578758898588	0.274950137874217	0.204354387535523	0.138953005478771
AP006222.2		0.127379426535801	0.189359644640002	0.173326515597888	0.102431540171089	0.0954015018712621
RP4-669L17.10		0.0045393258765382	0.0055749650462206	0.0005212740270837	0.003518411912134	0.0
RP11-206L10.9		0.030738330125028	0.0463990564066693	0.106811709898519	0.0304659289870834	0.0160222877825318
FAM87B	ENSG00000177757	0.000559779778157	0.0	0.0012593154713706	0.001675726042527	0.0
LINC00115	ENSG00000225880	0.0646332436371119	0.0433107803441936	0.0467797198665692	0.0386191674676303	0.0441069170663964
FAM41C	ENSG00000230368	0.0143025689909431	0.0137935216007118	0.0229142874019203	0.0140506921154332	0.0276360435711495
RP11-54O7.1		0.0	0.0053797226824589	0.0003711605574504	0.0003520767974685	0.0
SAMD11	ENSG00000187634	0.004088684341928	0.0158763492105017	0.0108268160279576	0.0122180988444164	0.0046955422262464
NOC2L	ENSG00000188976	0.475640642367425	0.389696953556908	0.52007518929857	0.371877563879332	0.681455433477409
KLHL17	ENSG00000187961	0.007613848812791	0.0026467529412456	0.0087857232678512	0.0010980795118317	0.0139777272763656
RP11-54O7.17		0.0035115378744395	0.0030966986436479	0.0326625521311103	0.0069783761307934	0.0087776470308562
HES4	ENSG00000188290	0.249840357139543	0.224337689395827	3.09203757931719	0.439987675416147	1.36694556232909
ISG15	ENSG00000187608	3.31673880303289	1.22495294454603	2.53702947647354	0.877973193996476	5.35970834135373
AGRN	ENSG00000188157	0.184347051624295	0.0600143875256501	0.090342188759641	0.0339340549026681	0.028462694302735
C1orf159		0.0454770061897887	0.064714402114322	0.0488892911543174	0.0245357834667886	0.0270734136720884
TNFRSF18	ENSG00000186891	0.0059239224586888	0.0004261461093073	0.0	0.0013645479658913	1.17150706294435
TNFRSF4	ENSG00000186827	0.110791610801594	0.0017970304851538	0.0027797548725727	0.0048176561745891	0.633857050028166
SDF4	ENSG00000078808	0.745605304052884	1.02445393881169	0.635890772985467	0.672458053517286	1.2209369459269
B3GALT6	ENSG00000176022	0.0365271500385918	0.0528903696272812	0.0085628243557495	0.033579746848928	0.0504041954506356
FAM132A	ENSG00000184163	0.0050359776334147	0.0038998457147123	0.0	0.0022487074904819	0.0020518565320032
RP5-902P8.12		0.0005465022505314	0.0	0.0	6.33833290891856e-05	0.0
UBE2J2	ENSG00000160087	0.362621308227191	0.535763761057356	0.362665636325864	0.359264093400407	0.660113889515242
SCNN1D	ENSG00000162572	0.0043451283184082	0.0157440310657825	0.0090879984744962	0.0164924684951127	0.0127959198300492
ACAP3	ENSG00000131584	0.0586236346468415	0.0506541807995714	0.125814775894776	0.101087712891356	0.126038610396633
PUSL1	ENSG00000169972	0.0388033530090985	0.0467712143066693	0.0351900410762921	0.0569843654703507	0.125330655961995
CPSF3L	ENSG00000127054	0.388788272049523	0.381586862650265	0.467539022607688	0.431758016478276	0.330088770155481
CPTP	ENSG00000224051	0.147205224821416	0.117278749445923	0.0889585438560521	0.0607027963814424	0.217829753535501
DVL1	ENSG00000107404	0.0990341962632492	0.096240196355934	0.0493405794552745	0.0504862724023023	0.042445383338206
MXRA8	ENSG00000162576	0.0794702196123239	0.0726171633787814	0.937679406892297	1.07780070489554	0.0762955964716803
AURKAIP1	ENSG00000175756	0.710223275430231	1.73611309116834	0.886771488269957	0.563023832185638	2.0368423059084
CCNL2	ENSG00000221978	1.00500896715784	0.582026913384078	0.599594335116104	0.605054138249279	0.624413158913939
MRPL20	ENSG00000242485	0.501295402086365	0.979925232328054	0.612920574022008	0.392609281089484	1.21383073679431
ANKRD65	ENSG00000235098	0.0541464388483913	0.0285364188046763	0.0027935746299055	0.0874844434999193	0.0054482356599359
VWA1	ENSG00000179403	0.264652539028273	0.0121997511807196	0.0289535747609531	0.0908209764850614	0.0179640740665036
ATAD3C	ENSG00000215915	0.022699485499104	0.0070988480444371	0.0131056650949493	0.0263880045592597	0.001136496529377
ATAD3B	ENSG00000160072	0.143828661319977	0.117113600661397	0.102635858600259	0.105797048235125	0.20528921752835
ATAD3A	ENSG00000197785	0.0867223224462249	0.171772477115601	0.111746888131706	0.0779480100355816	0.123986026937744
TMEM240	ENSG00000205090	0.0015570225219688	0.0005816283383285	0.0022470840998176	0.0042974946331178	0.0
SSU72	ENSG00000160075	0.881161586404087	1.21229425532722	0.610734987342862	0.801220753536241	1.41607723874001
RP5-832C2.5		0.068860482847136	0.0497827794770499	0.101067860759133	0.0580343142482424	0.0597596821627923
C1orf233		0.0	0.169142530611857	0.0050622094801747	0.0039595014494403	0.0039322742560819
RP11-345P4.9		0.065826114590123	0.0891933604424502	0.133634667981517	0.135274674677218	0.0668076839762466
MIB2	ENSG00000197530	0.208137294736785	0.197462322551718	0.181165509356412	0.206725855731042	0.325601351979495
MMP23B	ENSG00000189409	0.0470334804927742	0.037489298398725	0.0731481575745853	0.735273059165954	0.069680143563787
CDK11B	ENSG00000248333	0.286559723010868	0.316984588840066	0.25624131211022	0.214808459720734	0.512785899671416
SLC35E2B	ENSG00000189339	0.0987099193917487	0.285367740183242	0.0869741245468248	0.105579153609079	0.127607962842903
CDK11A	ENSG00000008128	0.269686769695894	0.178890942377289	0.212138424442842	0.132939327768391	0.440043057291583
SLC35E2	ENSG00000189339	0.0164580546307907	0.0237547612268768	0.0112478439257369	0.0108952563473017	0.0144913207648355
NADK	ENSG00000008130	0.173974963497434	0.169456042518668	0.191186965585388	0.131699286973596	0.168092384904076
GNB1	ENSG00000078369	0.491052800754773	0.634371261954499	0.270553895245885	0.238020037456068	0.356024230353351
TMEM52	ENSG00000178821	0.0061222012819345	0.0218359933332493	0.0168482190935236	0.010620379222718	0.0137155781115884
CFAP74	ENSG00000142609	0.0029440269814184	0.0	0.0160832906518199	0.0004284995948667	0.0
PRKCZ	ENSG00000067606	0.0434120943332429	0.1166664988707	0.0137371743935987	0.0109911803744818	0.0503774892163594
RP5-892K4.1		0.0144869514352691	0.0015493413780422	0.0091284913778087	0.0076603044701163	0.0214562696988667
RP11-181G12.2		0.0011712590435853	0.0009411119904966	0.0050313051556106	0.0057450648783512	0.0
FAAP20	ENSG00000162585	0.54428662949402	0.641632375458185	0.698373889159077	0.476700970002652	0.453258572537446
SKI	ENSG00000157933	0.227419881146631	0.119895358773385	0.136353871466925	0.193910429259893	0.258052543710607
MORN1	ENSG00000116151	0.0277029201406739	0.0244468742421902	0.0451908380204299	0.0392342953622307	0.0030947366935231
RER1	ENSG00000157916	0.484236999088385	0.784534159338553	0.57563800088917	0.525866176101163	0.776513430205213
PEX10	ENSG00000157911	0.13494076723088	0.270136230882392	0.122933115052494	0.106809779306734	0.0596933750690066
